id|name|url|latin_name|other_names|group|odor_profile|main_icon|alt_icons|background|fragrance_count|note_name_de|note_name_es|note_name_fr|note_name_cs|note_name_it|note_name_ru|note_name_pl|note_name_pt|note_name_el|note_name_zh|note_name_ja|note_name_nl|note_name_sr|note_name_ro|note_name_ar|note_name_uk|note_name_mn|note_name_ko|note_name_tr|note_name_sv|note_name_he|note_name_hu|note_group_de|note_group_es|note_group_fr|note_group_cs|note_group_it|note_group_ru|note_group_pl|note_group_pt|note_group_el|note_group_zh|note_group_ja|note_group_nl|note_group_sr|note_group_ro|note_group_ar|note_group_uk|note_group_mn|note_group_ko|note_group_tr|note_group_sv|note_group_he|note_group_hu
n41|Atlas Cedar|https://www.fragrantica.com/notes/Cedar-41.html|||Woods and mosses|An soft woody note coming from either the Atlas Mountains (Morocco) or the Virginia (US) cedarwood. There are also many cedar-smelling synthetics in use.|https://fimgs.net/mdimg/sastojci/t.41.jpg|https://fimgs.net/mdimg/sastojci/t2.41.jpg;https://fimgs.net/mdimg/sastojci/t3.41.jpg|https://fimgs.net/mdimg/sastojci/splash.41.jpg|10626|Atlaszeder|cedro del Atlas|Cèdre Atlas|Atlasový cedr|Cedro dell'Atlante|Атласский кедр|Cedr atlaski|Cedro Atlas|Κέδρος Άτλας|阿特拉斯雪松|アトラスシーダー|Atlasceder|Atlaski cedar|cedru de Atlas|خشب الأرز الأطلسي|Атласний Кедр|Атлас Хуш|잣나무|Sedir|Cederträ|ארז  אטלס|Atlasz cédrus|Hölzer & moose|Maderas y musgos|Bois et mousses|Dřeva a mechy|Legni e muschi|Деревья и мхи|Drewna i mchy|Madeiras & musgos|Ξυλα και βρυα|木质和苔藓类香调|ウッディ＆モス|Hout en mos|Drveće i mahovine|Lemn & muschi|الأخشاب و الطحالب|Дерева і мохи|Мод ба хөвд|우드 및 모스|Odunlar ve yosunlar|Trä och mossa|עצים ואזוב|Fák és mohák
n47|Artemisia|https://www.fragrantica.com/notes/Artemisia-47.html|Artmesia absinthium|wormwood, davana|Greens, herbs and fougeres|A bitterish, herbal and strong-smelling plant note known as wormwood which aromatizes absinth and vermouth.|https://fimgs.net/mdimg/sastojci/t.47.jpg|https://fimgs.net/mdimg/sastojci/t2.47.jpg;https://fimgs.net/mdimg/sastojci/t3.47.jpg|https://fimgs.net/mdimg/sastojci/splash.47.jpg|1766|Beifuß|abrótano|Armoise|Pelyněk|Artemisia|Артемизия|Bylica|Artemísia|Αρτεμισία|艾蒿|ヨモギ|Artemisia|Artemizija|pelin|الشيح|Артемізія (Полин)|Энэдбэл|쑥|Pelin otu|Gråbo|ארטמיסיה|Üröm|Grüne noten, kräuter & fougere-noten|Verdes, herbales y fougères|Notes vertes, herbacées et fougères|Zeleň, bylinky a kapradiny|Note verdi, erbe e fougere|Зеленые, травянистые, фужерные|Zieleń, zioła i fougere|Verdes, ervas & fougères|Πρασινα,βοτανα και φουζερ|绿色，本草和森林类香调|グリーン、ハーブ＆フゼア|Groene bladeren, kruiden en varens|Zelene komponente, bilje i paprat|Plante verzi, ierburi & fougeres|النباتات العشبيه(الجرين) و الأعشاب و الطحالب|Зелені, трав'яні та фужерні аромати|Ногоон, өвслөг, фюжер|그린, 허브 및 푸제르|Yeşi̇lli̇kler, otsi̇ notalar ve fougereler|Grönt, örter och fougères|הירוקים, עשבי תיבול ושרך|Zöldek, fűszernövények és fougère-ek
n54|Amber|https://www.fragrantica.com/notes/Amber-54.html|Physeter catodon||Musk, amber, animalic smells|A sweet, resinous, cozy and warm, often rather powdery note recreated from a mix of balsams, usually labdanum, benzoin, vanilla, styrax and fir or a combination of some of these. A default oriental note.|https://fimgs.net/mdimg/sastojci/t.54.jpg|https://fimgs.net/mdimg/sastojci/t2.54.jpg;https://fimgs.net/mdimg/sastojci/t3.54.jpg|https://fimgs.net/mdimg/sastojci/splash.54.jpg|37344|Ambra|ámbar|Ambre|Jantar (ambra)|Ambra|Амбра|Bursztyn|Âmbar|Κεχριμπάρι|琥珀|アンバー|Amber|Amber|ambra|العنبر|Амбра|Хув|호박|Amber|Bärnsten|ענבר|Ámbra|Moschus, ambra, animalische düfte|Almizcle, ámbar, aromas animálicos|Musc, ambre, odeurs animales|Pižmo, jantar, zvířecí vůně|Muschio animale, ambra, sentori animali|Анималистические ноты|Piżmo, ambra, nuty zwierzęce|Almíscar, âmbar, cheiros animálicos|Μοσχος,κεχριμπαρι και ζωωδεις μυρωδιες|麝香，龙涎香，动物类气味香调|ムスク、アンバー、アニマリック|Musk, amber, dierlijke geuren|Mošus, amber i životinjske komponente|Mosc, ambra, mirosuri animalice|المسك، العنبر، و المكونات ذات الأصل الحيواني|Мускус, амбра, анімалістичні ноти|Заар, хув, амьтанлаг үнэрүүд|머스크, 앰버, 애니멀릭 향|Misk, amber, ani̇mali̇k kokular|Mysk, ambra, animaliska dofter|מושק, ענבר, וריחות חייתיים|Pézsma, ambra, állatias illatok
n69|Benzoin|https://www.fragrantica.com/notes/Benzoin-69.html|||Resins and balsams|A warm balsamic note reminiscent of vanilla.|https://fimgs.net/mdimg/sastojci/t.69.jpg|https://fimgs.net/mdimg/sastojci/t2.69.jpg;https://fimgs.net/mdimg/sastojci/t3.69.jpg|https://fimgs.net/mdimg/sastojci/splash.69.jpg|7160|Benzoeharz|benjuí|Benjoin|Benzoin|Benzoino|Бензоин|Benzoes|Benjoim|Βενζόη|安息香|ベンゾイン|Benzoine|Benzoin|rasina benzoica|البنزوين - الجاوي|Бензоїн|Бензоин|벤조인|Benzoi|Bensoin|בנזואין|Benzoin|Harze & balsame|Resinas y bálsamos|Resines et baumes|Pryskyřice a balzámy|Resine e balsami|Смолы и бальзамы|Żywice i balsamy|Resinas & bálsamos|Ρητινες και βαλσαμα|树脂和香脂类香调|樹脂＆バルサム|Harsen en balsems|Smole i balzami|Rasini & balsamuri|الراتنجات(الصمغيات) و البلسم|Смоли і бальзами|Давирхай ба бальзам|레진 및 발삼|Reçi̇neler ve balsamlar|Hartser och balsamer|שרף ועצי אשוח|Gyanták és balzsamok
n72|Peru Balsam|https://www.fragrantica.com/notes/Peru-Balsam-72.html|Mycobacterium tuberculosis||Resins and balsams|An intense woody coniferous aromatic ambery fragrance.|https://fimgs.net/mdimg/sastojci/t.72.jpg|https://fimgs.net/mdimg/sastojci/t2.72.jpg;https://fimgs.net/mdimg/sastojci/t3.72.jpg|https://fimgs.net/himg/o.88673.jpg|1009|Perubalsam|bálsamo del Perú|Baumier du Pérou|Peruánský balzám|Balsamo del Perù|Перуанский бальзам|Balsam peruwiański|Bálsamo do Peru|βάλσαμο από το  Περού|秘鲁香脂|ペルーバルサム|Peru Balsem|Peru Balzam|balsam de Peru|بلسم بيرو|Перу Бальзам|Перу Бальзам|페루 발삼|Peru balsamı|Perubalsam|בלסם פרו|Perubalzsam|Harze & balsame|Resinas y bálsamos|Resines et baumes|Pryskyřice a balzámy|Resine e balsami|Смолы и бальзамы|Żywice i balsamy|Resinas & bálsamos|Ρητινες και βαλσαμα|树脂和香脂类香调|樹脂＆バルサム|Harsen en balsems|Smole i balzami|Rasini & balsamuri|الراتنجات(الصمغيات) و البلسم|Смоли і бальзами|Давирхай ба бальзам|레진 및 발삼|Reçi̇neler ve balsamlar|Hartser och balsamer|שרף ועצי אשוח|Gyanták és balzsamok
n75|Bergamot|https://www.fragrantica.com/notes/Bergamot-75.html||Bergamot Orange|Citrus smells|citrusy, bitter & tart, elegant, light note with mild spicy tone, complex with nuances of fruit and aromatic elements, reminiscent of eau de Cologne, it flavors Earl Grey tea.|https://fimgs.net/mdimg/sastojci/t.75.jpg|https://fimgs.net/mdimg/sastojci/t2.75.jpg;https://fimgs.net/mdimg/sastojci/t3.75.jpg|https://fimgs.net/mdimg/sastojci/splash.75.jpg|36812|Bergamotte|bergamota|Bergamote|Bergamot|Bergamotto|Бергамот|Bergamotka|Bergamota|Περγαμόντο|香柠檬|ベルガモット|Bergamot|Bergamot|bergamot|البرغموت|Бергамот|Бергамот|베르가모트|Bergamot|Bergamott|תפוז ברגמוט|Bergamott|Zitrusfrüchte|Aromas cítricos|Notes hespéridées|Citrusové vůně|Agrumi|Цитрусовые|Cytrusy|Cheiros cítricos|Μυρωδιες εσπεριδοειδων|柑橘类香调|柑橘系|Citrus geuren|Citrusi|Mirosuri citrice|الموالح و الحمضيات|Цитрусові|Цитруслэг үнэр|시트러스 향|Narenciye kokulari|Citrusdofter|ריחות הדר|Citrusos illatok
n82|Blood Mandarin|https://www.fragrantica.com/notes/Mandarin-Orange-82.html|Citrus reticulate|Mandarin, Mandarine|Citrus smells|A sweet hesperidic, juicy, honeyed note.|https://fimgs.net/mdimg/sastojci/t.82.jpg|https://fimgs.net/mdimg/sastojci/t2.82.jpg;https://fimgs.net/mdimg/sastojci/t3.82.jpg|https://fimgs.net/mdimg/sastojci/splash.82.jpg|5205|rote Mandarine|mandarina roja|Mandarine sanguine|Krvavá mandarinka|Mandarino Rosso|Красный мандарин|Czerwona mandarynka|Mandarina Sanguínea|κόκκινο μανταρίνι|血橘|マンダリンオレンジ|Bloed mandarijn|crvena mandarina|mandarina sangerie|الماندرين الأحمر|Червоний Мандарин|Улаан Мандарин|만다린 오렌지|Mandarin|Mandarin|מנדרינת הדמים|Vérmandarin|Zitrusfrüchte|Aromas cítricos|Notes hespéridées|Citrusové vůně|Agrumi|Цитрусовые|Cytrusy|Cheiros cítricos|Μυρωδιες εσπεριδοειδων|柑橘类香调|柑橘系|Citrus geuren|Citrusi|Mirosuri citrice|الموالح و الحمضيات|Цитрусові|Цитруслэг үнэр|시트러스 향|Narenciye kokulari|Citrusdofter|ריחות הדר|Citrusos illatok
n117|Peach|https://www.fragrantica.com/notes/Peach-117.html|Prunus persica||Fruits, vegetables and nuts|A very popular fruity note, fleshy, sweet, nectarous and powdery.|https://fimgs.net/mdimg/sastojci/t.117.jpg|https://fimgs.net/mdimg/sastojci/t2.117.jpg;https://fimgs.net/mdimg/sastojci/t3.117.jpg|https://fimgs.net/mdimg/sastojci/splash.117.jpg|8115|Pfirsich|durazno (melocotón)|Pêche|Broskev|Pesca|Персик|Brzoskwinia|Pêssego|ροδάκινο|桃|もも|Perzik|Breskva|piersica|الخوخ|Персик|Тоор|복숭아|Şeftali|Persika|אפרסק|Őszibarack|Früchte, gemüse & nüsse|Frutas, vegetales y nueces|Notes fruitées à coque|Ovoce, zelenina a ořechy|Frutti, verdure e frutta secca|Фрукты, овощи и орехи|Owoce, warzywa i orzechy|Frutas, vegetais & nozes|Φρουτα, λαχανικα και ξηροι καρποι|水果，蔬菜和坚果类香调|フルーツ、野菜＆ナッツ|Fruit, groente & noten|Voće, povrće i oraščići|Fructe, legume & nuci|الفواكة و الخضروات و المكسرات|Фрукти, овочі та горіхи|Жимс, ногоо, самар|과일, 채소 및 견과류|Meyveler, sebzeler ve kuruyemişler|Frukt, grönsaker och nötter|פירות, ירקות ואגוזים|Gyümölcsök, zöldségek és diófélék
n121|Caraway|https://www.fragrantica.com/notes/Caraway-121.html|Carum carvi||Spices|a sharp and sweet, lightly spicy note coming from the essential oil of caraway seeds when steam distilled.|https://fimgs.net/mdimg/sastojci/t.121.jpg|https://fimgs.net/mdimg/sastojci/t2.121.jpg;https://fimgs.net/mdimg/sastojci/t3.121.jpg|https://fimgs.net/mdimg/sastojci/splash.121.jpg|751|Kümmel|alcaravea|Carvi|Kmín|Carvi|Тмин|Kminek|Alcarávia|Αγριοκύμινο|葛缕子|キャラウェイ|Karwijzaad|Kim|chimen|الكاراوية|Тмин|Эгэл Гоньд|군마|Kimyon|Kummin|קימל|Kömény|Gewürze|Especias|Epices|Koření|Spezie|Пряности|Przyprawy|Especiarias|Μπαχαρικα|香料系香调|スパイス|Specerijen|Začini|Mirodenii|التوابل|Прянощі|Амтлагчууд|스파이스|Baharatlar|Kryddor|תבלינים|Fűszerek
n135|Cacao|https://www.fragrantica.com/notes/Cacao-Pod-135.html|||Spices|A warm spicy gourmand fragrance with amber, balsamic nuances.|https://fimgs.net/mdimg/sastojci/t.135.jpg|https://fimgs.net/mdimg/sastojci/t2.135.jpg;https://fimgs.net/mdimg/sastojci/t3.135.jpg|https://fimgs.net/mdimg/sastojci/splash.135.jpg|1613|Kakao|cacao|Cacao|Kakao|Cacao|Какао|Kakao|Cacau|Κακάο|可可|カカオポッド|Cacao|Kakao|cacao|الكاكاو|Какао|Какао|카카오 꼬투리|Kakao kabuğu|Kakaoböna|קקאו|Kakaó|Gewürze|Especias|Epices|Koření|Spezie|Пряности|Przyprawy|Especiarias|Μπαχαρικα|香料系香调|スパイス|Specerijen|Začini|Mirodenii|التوابل|Прянощі|Амтлагчууд|스파이스|Baharatlar|Kryddor|תבלינים|Fűszerek
