id|name|url|photo_url|status|company|also_worked|education|web|perfumes_count|biography|status_de|status_es|status_fr|status_cs|status_it|status_ru|status_pl|status_pt|status_el|status_zh|status_ja|status_nl|status_sr|status_ro|status_ar|status_uk|status_mn|status_ko|status_tr|status_sv|status_he|status_hu|perfumer_name_ru|perfumer_name_uk|perfumer_name_ja|perfumer_name_zh|perfumer_name_ko|perfumer_name_ar|perfumer_name_he|perfumer_name_el|perfumer_name_mn
p2|Dominique Ropion|https://www.fragrantica.com/noses/Dominique_Ropion.html|https://fimgs.net/images/nosevi/o.1.jpg|Master Perfumer|IFF||Roure Bertrand Dupont (Givaudan Perfumery School)|http://www.iff.com/|451|<p>Dominique Ropion is a French master perfumer, born in Paris in 1955. He attended the Roure Bertrand Dupont perfumery school in Grasse to pursue his passion for perfumery. After completing his education, he started his career at the legendary Roure Bertrand laboratories, where he met his friend and collaborator, Frédéric Malle.</p> <p>Over the years, Dominique Ropion has worked with several fragrance brands, including Christian Dior, Thierry Mugler, Lancôme, Givenchy, Issey Miyake, Yves Saint Laurent, Paco Rabanne, and The Body Shop. He joined International Flavors & Fragrances Inc. in 2000, where he continues to create groundbreaking fragrances.</p> <p>Ropion's creations are known for their exact olfactory balance and flawless composition. He is a daring perfectionist who takes risks to create masterpieces that stand out in the industry. His perfumes are like great architectural feats, balancing excessive doses of powerful ingredients with meticulously measured, subtler accords, until the composition holds up on its own.</p> <p>Dominique Ropion has received several awards and recognitions for his contribution to the fragrance industry. He received the Chevalier de l’Ordre des Arts et des Lettres in 2012 and the Cosmetic Valley's International Fragrance Prize or Prix François Coty in 2008. In 2010, he was honored with the Cosmetique Magazine Oscar, and in 2018, he was named a Master Perfumer.</p> <p>Some of Ropion's popular creations include Givenchy Ysatis, Givenchy Amarige, Kenzo Jungle Elephant, Calvin Klein Euphoria, Thierry Mugler Alien, Viktor & Rolf Flowerbomb, and Lancôme La Vie Est Belle. However, his most famous creation is arguably Portrait of a Lady for Frédéric Malle, which he developed with his friend and collaborator, Frédéric Malle. This fragrance is considered a masterpiece in the fragrance industry and has received critical acclaim.</p> <p>Dominique Ropion's contributions to the fragrance industry have been invaluable, and he continues to create groundbreaking fragrances that touch the senses and evoke emotions. His passion for perfumery and his dedication to excellence have earned him a reputation as one of the most celebrated perfumers in the world.</p>|Meisterparfümeur|Maestro Perfumista|Maître Parfumeur|Mistr parfumér|Maestro Profumiere|Мастер-парфюмер|Mistrz Perfumiarz|Mestre Perfumista|Κορυφαίος Αρωματοποιός|大师级调香师|マスター調香師|Meesterparfumeur|Majstor parfimer|Parfumier Master|صانع عطور خبير|Майстер-парфумер|Мастер сүрчиг зохиогч|마스터 조향사|Usta Parfümör|Mästarparfymör|בשמן אמן|Mesterparfümőr|Доминик Ропьон|Домінік Ропіон|ドミニク・ロピオン|多米尼克·罗皮翁|도미니크 로피옹|دومينيك روبيون|דומיניק רופיון|Ντομινίκ Ροπιόν|Доминик Ропьон
p9|Jean-Claude Ellena|https://www.fragrantica.com/noses/Jean-Claude_Ellena.html|https://fimgs.net/images/nosevi/o.14.jpg|Perfumer||Hermes, The Different Company, Givaudan|Chiris||158|"<p>Jean-Claude Ellena is a French perfumer and writer, born in Grasse, France, in 1947. He began his career in the perfume industry as an apprentice at the factory of the essential oil maker Antoine Chiris in Grasse at the age of 16. Ellena later became the first student at the newly formed perfumery school of Givaudan in Geneva, Switzerland, and has worked for several major perfume houses, including Hermès, The Different Company, and Givaudan.</p> <p>Ellena has been profoundly influenced by pioneering perfumer Edmond Roudnitska, particularly in his article ""Advice to a Young Perfumer."" He is also the founding member of the Osmothèque, an international scent archive based in Versailles.</p> <p>From 2004 to 2016, Ellena was Hermès's exclusive in-house perfumer, during which time he created the Hermèssence collection, exclusively available in Hermès stores. He has also created fragrances for other brands, including The Different Company, which he founded before joining Hermès.</p> <p>In 2019, Ellena became the exclusive Olfactory Creation Director of Le Couvent – Maison de Parfum, where he created a contemporary Haute Parfumerie collection made from noble and rare natural materials, 100% vegan. Ellena has written several books, including ""The Diary of a Nose: A Year in the Life of a Parfumeur.""</p> <p>Jean-Claude Ellena has created many iconic perfumes throughout his career, but some of the most popular ones include:</p> <ul><li><p>Terre d'Hermès: This woody, spicy fragrance for men was launched in 2006 and has become a modern classic. It features notes of grapefruit, pepper, vetiver, and cedar.</p></li> <li><p>Eau Parfumée au Thé Vert: Bulgari's signature unisex scent, this fresh and invigorating fragrance is centered around green tea and citrus notes. It was originally launched in 1992 and has since been updated with the release of Eau Parfumée au Thé Vert Extrême.</p></li> <li><p>Un Jardin en Méditerranée: This fresh and sunny fragrance is part of Hermès' ""Jardin"" series, inspired by gardens around the world. Un Jardin en Méditerranée captures the essence of a Mediterranean garden with notes of fig, orange blossom, and cedar.</p></li> <li><p>First: Van Cleef & Arpels' signature fragrance for women, First was launched in 1976 and has since become a classic. It's a floral aldehyde scent with jasmine, rose, and narcissus notes.</p></li> <li><p>Rose Ikebana: Part of Hermès' exclusive Hermèssence collection, Rose Ikebana is a delicate and elegant floral fragrance featuring notes of rose, raspberry, and musk.</p></li> <li><p>L'Eau d'Ambre: This warm and spicy fragrance from L'Artisan Parfumeur features amber, vanilla, and patchouli notes. It's a unisex scent that's perfect for fall and winter.</p></li> <li><p>Déclaration: Cartier's signature scent for men, Déclaration is a fresh and spicy fragrance featuring notes of bergamot, cardamom, and cedar. It was launched in 1998 and has become a modern classic.</p></li> <li><p>Osmanthe Yunnan: Another fragrance from Hermès' Hermèssence collection, Osmanthe Yunnan is a soft and fruity scent featuring notes of osmanthus, tea, and apricot. It's a delicate and feminine fragrance that's perfect for spring and summer.</p></li> <li><p>Bois d'Iris: The Different Company's Bois d'Iris is a woody and powdery fragrance featuring iris, cedar, and vetiver notes. It's a unisex scent that's both elegant and modern.</p></li> <li><p>Ambre Narguilé: Another fragrance from Hermès' Hermèssence collection, Ambre Narguilé is a warm and cozy scent featuring notes of apple, cinnamon, and vanilla. It's a perfect fragrance for fall and winter.</p><p>  </p></li></ul> <p>Among the latest fragrances that Jean-Claude Ellena has composed are several notable ones. One is Aqua Mahana, a unisex perfume created for Le Couvent Maison de Parfum in 2022. Another is Arancia Rossa, a unisex perfume created for Laboratorio Olfattivo in 2022.</p> <p>In addition, Ellena also created several fragrances for Le Couvent Maison de Parfum in 2021, including Tuberosa, Ambra, and Mimosa. These are all unisex perfumes that have received positive reviews from perfume enthusiasts.</p> <p>Finally, Ellena has also created two fragrances for Laboratorio Olfattivo in 2021: Limone and Bergamotto.</p> <p>Jean-Claude Ellena is a masterful perfumer whose passion for fragrance has made him one of the most celebrated names in the perfume industry. With a career spanning over five decades, Ellena has created numerous iconic fragrances for some of the world's leading perfume houses, including Hermès, Cartier, and L'Artisan Parfumeur. His unique approach to scent composition, which emphasizes the use of natural materials and a minimalist aesthetic, has earned him a loyal following among perfume enthusiasts. Ellena's commitment to preserving the history and culture of fragrance has also led him to found the Osmothèque. This international scent archive is dedicated to preserving and documenting the heritage of perfumery. With his unwavering dedication to craftsmanship and creativity, Jean-Claude Ellena continues to inspire and captivate perfume lovers around the world.</p> <p> </p>"|Parfümeur|Perfumista|Parfumeur|Parfumér|Profumiere|Парфюмер|Perfumiarz|Perfumista|Αρωματοποιός|调香师|調香師|Parfumeur|Parfimer|Parfumier|صانع العطور|Парфумер|Сүрчиг зохиогч|조향사|Parfümör|Parfymör|בשמן|Parfümőr|Жан-Клод Эллена|Жан-Клод Еллена|ジャン＝クロード・エレナ|让-克洛德·埃列纳|장 클로드 엘레나|جان كلود إيلينا|ז'אן-קלוד אלנה|Ζαν-Κλοντ Ελενά|Жан-Клод Эллена
p12|Olivier Pescheux|https://www.fragrantica.com/noses/Olivier_Pescheux.html|https://fimgs.net/images/nosevi/o.11.jpg|Master Perfumer|Givaudan||ISIPCA|https://www.givaudan.com/|145|<p>Olivier Pescheux, a distinguished perfumer born in France, devoted his life to the craft of fragrance creation until his untimely passing on July 10, 2023, at the age of 57. His fascination with scents and artistic expression prompted him to study at ISIPCA, a prestigious perfume school globally recognized for honing the skills of many renowned perfumers.</p> <p>Pescheux's career took him across the globe, starting in Bangkok in 1990, where he served at Payan Bertrand, contributing an international dimension to his work. Returning to Paris in 1992, he joined the eminent fragrance house Annick Goutal and later moved to Kao Corporation in 1993. In 1998, his career saw a significant ascent when he became part of Givaudan, one of the top fragrance and flavor companies worldwide, which remained his professional home until his passing.</p> <p>A testament to his mastery of the craft, Pescheux achieved the rank of Master Perfumer, creating signature scents for esteemed brands such as Dior, Montblanc, Armani, Valentino, Paco Rabanne, and Diptyque. Some of his most celebrated creations include Paco Rabanne 1 Million, Montblanc Explorer, Parfums de Marly Herod, Montblanc Legend, Versace Eros Flame, and Yves Rocher Voile d'Ambre.</p> <p>Pescheux was celebrated for his passionate yet practical approach to perfume creation. His talent for 'sculpting' raw materials into exquisite scents, coupled with his ability to balance traditional techniques with contemporary innovation, set him apart in the industry. His portfolio, diverse in genres and styles, showcased his relentless pursuit of olfactory exploration and innovation.</p> <p>Pescheux's olfactory inspirations were significantly shaped by his time in Asia. The vibrant scents of Thai cuisine, the soothing aromas of Japanese tea, and the serene atmosphere of Zen gardens deeply influenced his creative vision.</p> <p>Throughout his illustrious career, Pescheux had the privilege of working alongside some of the industry's most respected perfumers, contributing to his profound understanding of the fragrance market. His creations often bore a modern, unconventional tone, mirroring his progressive approach.</p> <p>Pescheux's legacy, beyond his fragrance creations, is also marked by his commitment to mentoring the next generation of perfumers. His generosity in sharing knowledge and insight has left an indelible mark on the industry. Olivier Pescheux's life was emblematic of his unwavering devotion to the art of perfumery, and his impact on the fragrance world endures even after his passing.</p>|Meisterparfümeur|Maestro Perfumista|Maître Parfumeur|Mistr parfumér|Maestro Profumiere|Мастер-парфюмер|Mistrz Perfumiarz|Mestre Perfumista|Κορυφαίος Αρωματοποιός|大师级调香师|マスター調香師|Meesterparfumeur|Majstor parfimer|Parfumier Master|صانع عطور خبير|Майстер-парфумер|Мастер сүрчиг зохиогч|마스터 조향사|Usta Parfümör|Mästarparfymör|בשמן אמן|Mesterparfümőr|Оливье Пешо|Олів'є Пешо|オリヴィエ・ペシュー|奥利维耶·佩谢|올리비에 페슈|أوليفييه بيشو|אוליבייה פשו|Ολιβιέ Πεσέ|Оливье Пешё
p24|Alberto Morillas|https://www.fragrantica.com/noses/Alberto_Morillas.html|https://fimgs.net/images/nosevi/o.26.jpg|Master Perfumer|dsm-firmenich|||https://www.dsm-firmenich.com/|551|"<p>Alberto Morillas is a renowned Spanish perfumer who has created some of the world's most iconic fragrances. He was born in Seville, Spain in 1950, but moved to Switzerland at the age of ten. Morillas studied for two years at the Ecole des Beaux Arts in Geneva and began working in perfumery at the age of 20, after being inspired by a Vogue article about French perfumer Jean-Paul Guerlain.</p> <p>In 1970, Morillas joined Swiss fragrance and flavor firm Firmenich, where he established himself with the creation of Must de Cartier in 1975, the first fragrance of the Cartier jewelry company. Since then, Morillas has been involved or touched the creation of nearly 7000 perfumes for the company, including the iconic Calvin Klein CK One, Giorgio Armani Acqua di Giò for women, Kenzo Flower, Bvlgari Omnia, Cartier Panthere de Cartier, and Marc Jacobs Daisy.</p> <p>Morillas is also the founder of his independent line called Mizensir, which began with scented candles and has since expanded to include 17 perfumes. In collaboration with Penhaligon's, Morillas also has a custom perfumery service called Bespoke by Alberto Morillas, based in the Salon de Parfum in the department store Harrods in London.</p> <p>Throughout his career, Morillas has won numerous awards for his creations, including the prestigious Prix François Coty in 2003. He currently resides in Geneva, Switzerland, after periods of living in Paris and New York.</p> <p>Morillas has a passion for the Mediterranean Sea and is particularly attached to the scent of citruses, sea notes, and flowers such as jasmine, tuberose, neroli, and orange blossom. He is also inspired by gardens, spending a lot of time in his family garden in Geneva. Morillas believes that the future of the fragrance industry is positive, as more and more people are becoming experts in fragrances and brands are offering different storytelling around creation.</p> <p>“Perfumery is the mirror of society. I am the artist who interprets these emotions,""he says.</p> <p>Morillas has stated that creating a fragrance is an art, a very personal and creative exercise. He often works on over twenty different fragrances at any given time and has described the importance of training one's nose and building up a ""scent bank"" to enhance appreciation of fragrance. Morillas is particularly fond of the rose note, but also enjoys exploring different musks and the scent of orange blossom during springtime in his hometown of Seville.</p>"|Meisterparfümeur|Maestro Perfumista|Maître Parfumeur|Mistr parfumér|Maestro Profumiere|Мастер-парфюмер|Mistrz Perfumiarz|Mestre Perfumista|Κορυφαίος Αρωματοποιός|大师级调香师|マスター調香師|Meesterparfumeur|Majstor parfimer|Parfumier Master|صانع عطور خبير|Майстер-парфумер|Мастер сүрчиг зохиогч|마스터 조향사|Usta Parfümör|Mästarparfymör|בשמן אמן|Mesterparfümőr|Альберто Морильяс|Альберто Морільяс|アルベルト・モリヤス|阿尔贝托·莫里亚斯|알베르토 모리야스|ألبرتو موريلاس|אלברטו מורילאס|Αλμπέρτο Μορίγιας|Альберто Морильяс
p26|Carlos Benaïm|https://www.fragrantica.com/noses/Carlos_Bena%C3%AFm.html|https://fimgs.net/images/nosevi/o.24.jpg|Master Perfumer|IFF||IFF|http://www.iff.com/|231|<p>Carlos Benaïm is a highly esteemed perfumer who has made significant contributions to the fragrance industry. Born and raised in Tangiers, Morocco, he developed an early interest in perfumery through his father, who was a pharmacist and had a passion for extracting essential oils. He went on to study chemical engineering before embarking on a career as a perfumer.</p> <p>Benaïm has worked for several prominent fragrance houses throughout his career, including IFF, where he was named Master Perfumer in 2013, the first perfumer to be designated with this title at the company. He has also created fragrances for a wide range of fashion and beauty brands, including Armani, Calvin Klein, Givenchy, and Yves Saint Laurent.</p> <p>Benaïm is known for his ability to bring invisible connections to light in his fragrances, creating compositions that are both imaginative and harmonious. He has a passion for simplicity, which he believes is a crucial trait for any artist or perfumer.</p> <p>Throughout his career, Benaïm has received numerous awards and honors for his contributions to the fragrance industry, including the Lifetime Achievement Award from the American Society of Perfumers in 2004 and the Perfumer of the Year Lifetime Achievement award from the Fragrance Foundation in 2014.</p> <p>In addition to his work as a perfumer, Benaïm is actively involved in charitable causes. He has been involved with ISEF (International Sephardic Education Foundation) for two decades, serving as Chairman and eventually becoming President in 2017. He and his wife, Dr. Darel M. Benaïm, have also established an endowment fund in ISEF to underwrite scholarships for advanced professional studies at Ben-Gurion University.</p>|Meisterparfümeur|Maestro Perfumista|Maître Parfumeur|Mistr parfumér|Maestro Profumiere|Мастер-парфюмер|Mistrz Perfumiarz|Mestre Perfumista|Κορυφαίος Αρωματοποιός|大师级调香师|マスター調香師|Meesterparfumeur|Majstor parfimer|Parfumier Master|صانع عطور خبير|Майстер-парфумер|Мастер сүрчиг зохиогч|마스터 조향사|Usta Parfümör|Mästarparfymör|בשמן אמן|Mesterparfümőr|Карлос Бенаим|Карлос Бенаїм|カルロス・ベナイム|卡洛斯·贝奈姆|카를로스 베나임|كارلوس بينايم|קרלוס בנאים|Κάρλος Μπεναΐμ|Карлос Бенаим
p34|Christophe Raynaud|https://www.fragrantica.com/noses/Christophe_Raynaud.html|https://fimgs.net/images/nosevi/o.29.jpg|Perfumer|Givaudan|Créations Aromatiques, Drom, Symrise, Quest, Givaudan|ISIPCA|https://www.givaudan.com/|178|"<p>""I am a craftsman with the sensitivity of an artist,"" says Christophe Raynaud, a perfumer passionate about fragrances. His addiction to fragrance has led him to create some of the most popular perfumes in the industry. For him, perfumery is a universe, and the fragrance is his addiction.</p> <p>Starting with a raw form, an olfactory block, Raynaud works for hours to shape his creation, like a craftsman or a sculptor. ""At first, I am the architect, and then I become the craftsman,"" he explains. His fragrances stand out for their presence and radiance, reflecting his unique perspective on the art of perfumery.</p> <p>Raynaud's desire to become a perfumer began at an early age. As a teenager, he dreamed of creating a brand with his childhood friend, designing clothes and perfumes. ""This was done a few years later,"" he says, realizing his dream.</p> <p>""As a perfumer, I imagine myself as a craftsman with the sensitivity of an artist,"" Raynaud continues. ""The craftsman has precise know-how, expertise linked to their trade that almost goes without definition. The artist expresses their sensitivity, creative freedom, conception of art, and unique inspiration. In this sense, the perfumer is an artist and a craftsman.""</p> <p>With a career spanning multiple prestigious fragrance companies and collaborations with top brands, Raynaud has left his mark on the industry. His creations, including Paco Rabanne 1 Million, Lancôme La Nuit Trésor, and Mugler Aura Mugler, are loved by millions around the world.</p>"|Parfümeur|Perfumista|Parfumeur|Parfumér|Profumiere|Парфюмер|Perfumiarz|Perfumista|Αρωματοποιός|调香师|調香師|Parfumeur|Parfimer|Parfumier|صانع العطور|Парфумер|Сүрчиг зохиогч|조향사|Parfümör|Parfymör|בשמן|Parfümőr|Кристоф Рейно|Крістоф Рено|クリストフ・レイノー|克里斯托夫·雷诺|크리스토프 레이노|كريستوف رينو|כריסטוף רינו|Κριστόφ Ρενό|Кристоф Рено
p39|Olivier Cresp|https://www.fragrantica.com/noses/Olivier_Cresp.html|https://fimgs.net/images/nosevi/o.35.jpg|Master Perfumer|dsm-firmenich, Akro|||https://www.dsm-firmenich.com/|440|"<p>Olivier Cresp is a legendary French perfumer widely regarded as one of the industry's most influential and respected figures. Born in the town of Grasse, known as the cradle of French perfumery, Cresp was raised in a family with a rich heritage in fragrance. His great-grandfather cultivated roses and jasmine, while his grandfather traded natural ingredients.</p> <p>As a child, Cresp spent countless hours in fields of flowers with his father, inhaling their fresh blooms and developing an olfactive memory of exquisite scents. This experience instilled in him an extraordinary artistic sensibility and an appreciation for the magic of perfume.</p> <p>Cresp began his career with Firmenich in 1992 and quickly established himself as a talented and innovative perfumer. He has created hundreds of fragrances throughout his career, including some of the world's most iconic and beloved scents. His notable creations include Midnight Poison, Estée Lauder Modern Muse, Penhaligon’s Peoneve, Thierry Mugler Angel, and Paco Rabanne XS.</p> <p>Cresp has been honored with numerous awards for his contributions to the industry, including the title of Master Perfumer in 2006 and Perfumer of the Year in 2007. In 2012, he was also honored with the Chevalier des Arts et des Lettres title.</p> <p>“I’m always searching for a powerful and unique concept that will turn heads,"" Cresp says.</p> <p>In 2018, Creps founded his family brand Akro.</p> <p>Known for his exceptional skill and creativity, Cresp brings an incomparable breadth of references to his profession. He is a mentor to new talent and actively promotes the art, craft, and passion of perfumery. Cresp is a food lover and devotee of all things refined, and his perfumes are carefully created, delicately crafted, and timeless. He seeks powerful and unique concepts that will turn heads and leave a lasting impression, and his work has earned him a well-deserved reputation as a true legend in the world of fragrance.</p>"|Meisterparfümeur|Maestro Perfumista|Maître Parfumeur|Mistr parfumér|Maestro Profumiere|Мастер-парфюмер|Mistrz Perfumiarz|Mestre Perfumista|Κορυφαίος Αρωματοποιός|大师级调香师|マスター調香師|Meesterparfumeur|Majstor parfimer|Parfumier Master|صانع عطور خبير|Майстер-парфумер|Мастер сүрчиг зохиогч|마스터 조향사|Usta Parfümör|Mästarparfymör|בשמן אמן|Mesterparfümőr|Оливье Кресп|Олів'є Кресп|オリヴィエ・クレスプ|奥利维尔·克雷斯普|올리비에 크레스프|أوليفييه كريسب|אוליבייה קרספ|Ολιβιέ Κρεσπ|Оливье Крэсп
p44|Olivier Gillotin|https://www.fragrantica.com/noses/Olivier_Gillotin.html|https://fimgs.net/images/nosevi/o.38.jpg|Perfumer|Moellhausen|Givaudan|Givaudan Perfumer School|https://www.moellhausen.com/|55|<p>Olivier Gillotin is the Master Perfumer in Moellhausen. </p> <p>The esteemed and influential perfumer was born in the picturesque region of Brittany, France. Growing up surrounded by nature's beauty and fragrances, he developed an innate affinity for scents and the intricacies of their creation. Gillotin's passion for perfumery was ignited by his cousin, a perfumer at the legendary Chanel, who introduced him to olfactory arts.</p> <p>Gillotin's educational background began with a focus on biology, studying in Paris. However, his fascination with scents and perfumery led him to enroll in the Givaudan Perfumery School. There, he honed his skills and learned the nuances of the craft from some of the most experienced perfumers in the industry.</p> <p>Olivier Gillotin embarked on his illustrious career at Givaudan, the leading creator of fragrances and flavors, being Givaudan Vice President of Fragrance USA, and has been an integral part of the company for over 20 years. Over the years, Gillotin's creations have spanned across the United States and Europe, marking his presence as a highly sought-after perfumer.</p> <p>Gillotin's unique approach to perfume creation stems from his ability to reinvent the classics while infusing his passion for new ideas and innovations. His inspiring creations include iconic fragrances such as Polo Red by Ralph Lauren, Higher by Dior, Tom Ford Noir, Private Blend Tobacco Vanille, and Soleil Neige. His work has graced the collections of prestigious brands like Calvin Klein, Elizabeth Arden, Lancôme, and Michael Kors, as well as celebrity scents for Beyonce, Britney Spears, and Taylor Swift.</p> <p>In 2022, the American Society of Perfumery (ASP) recognized Gillotin's exceptional talent and passion for perfumery with the prestigious Lifetime Achievement Award. This accolade was presented to him at the World Perfumer Conference in Miami, Florida, further solidifying his status as a master in the field.</p> <p>Olivier Gillotin's fragrance inspiration is deeply rooted in his love for nature, art, and personal experiences. He seamlessly blends his memories and emotions into the scents he creates, resulting in truly unique and evocative fragrances that resonate with the wearer. His approach to perfumery is characterized by a meticulous balance between traditional techniques and modern innovations, ensuring that his creations stand the test of time.</p> <p>Olivier Gillotin is the Master Perfumer at Moellhausen S.p.A.since 2025. </p>|Parfümeur|Perfumista|Parfumeur|Parfumér|Profumiere|Парфюмер|Perfumiarz|Perfumista|Αρωματοποιός|调香师|調香師|Parfumeur|Parfimer|Parfumier|صانع العطور|Парфумер|Сүрчиг зохиогч|조향사|Parfümör|Parfymör|בשמן|Parfümőr|Оливье Гийотен|Олів'є Жіллотен|オリヴィエ・ジロタン|奥利维耶·吉洛廷|올리비에 질로탱|أوليفييه جيلوتان|אוליבייה ז'ילוטן|Ολιβιέ Ζιλοτάν|Оливье Жилотен
p45|Francis Kurkdjian|https://www.fragrantica.com/noses/Francis_Kurkdjian.html|https://fimgs.net/images/nosevi/o.39.jpg|Perfumer|Maison Francis Kurkdjian|Quest, Takasago|ISIPCA|https://www.franciskurkdjian.com/|274|"<p>Francis Kurkdjian is a renowned perfumer known for his innovative and captivating creations. Born on May 14, 1969, near Paris, France, Kurkdjian grew up in a culturally rich environment. His early ambitions included ballet, but after not passing the entrance exam for the Paris Opera Ballet School, he turned his attention to perfumery, a passion he had nurtured since he was 13 years old. </p> <p>Kurkdjian studied at the prestigious Institut Supérieur International du Parfum, de la Cosmétique et de l'Aromatique Alimentaire (ISIPCA) and graduated in 1993. His career took off at the age of 25 when he created the iconic fragrance ""Le Mâle"" for Jean Paul Gaultier, a scent that became a worldwide bestseller and significantly impacted the industry.</p> <p>In 2001, Kurkdjian opened his bespoke perfume atelier, breaking new ground in an era of perfume democratization. He has collaborated with some of the most prestigious fashion designers, including Dior, Guerlain, and Yves Saint Laurent, and created fragrances for a variety of luxury brands. His work extends beyond commercial perfumery into artistic olfactory installations and collaborations with artists such as Sophie Calle and Christian Rizzo.</p> <p>In 2009, Kurkdjian co-founded Maison Francis Kurkdjian with Marc Chaya. The Maison represents a blend of traditional French perfumery and modern innovation, offering a ""fragrance wardrobe"" that allows individuals to express their personalities through scent. His notable creations for  his eponymous Maison include Baccarat Rouge 540 and Aqua Universalis.</p> <p>Kurkdjian's contributions to perfumery have been widely recognized. In 2008, he was awarded the title of Chevalier des Arts et des Lettres. His legacy continues to grow as he remains a pivotal figure in the world of fragrance, known for his precision, creativity, and dedication to the art of scent.</p>"|Parfümeur|Perfumista|Parfumeur|Parfumér|Profumiere|Парфюмер|Perfumiarz|Perfumista|Αρωματοποιός|调香师|調香師|Parfumeur|Parfimer|Parfumier|صانع العطور|Парфумер|Сүрчиг зохиогч|조향사|Parfümör|Parfymör|בשמן|Parfümőr|Франсис Куркджян|Франсіс Куркджян|フランシス・クルジャン|弗朗西斯·库尔吉安|프란시스 커정|فرانسيس كوركدجيان|פרנסיס קורקדג'יאן|Φράνσις Κουρκτζιάν|Франсис Куркджян
p47|Loc Dong|https://www.fragrantica.com/noses/Loc_Dong.html|https://fimgs.net/images/nosevi/o.41.jpg|Master Perfumer|Symrise|||https://www.symrise.com/|74|"<p>Who could have imagined that one day Loc Dong would be at home in the upper echelons of perfumery? Born in 1972 in Vietnam, he took his first steps in the marvellous world of smells, amidst medicinal plants, herbs and spices, thanks to his herbalist grandfather. He left the country, alone, at the age of eleven. He turned this into a strength, a determination that would endlessly fuel his creativity. In the United States, he dreamed of becoming a doctor. But he encountered a perfumer who believed in him and offered to train him in Holzminden. Loc Dong took the profession to his heart, embracing the opportunity of a lifetime. Dominique Ropion, Sophia Grojsman and Carlos Benaim all gave him their blessing. He composes formulas inspired by the tradition of his elders but full of the tensions in everyday life he is so skilled at capturing. He draws on his roots, his travels and his encounters. ""Every ten years, a new cycle presents itself to me. My return to Symrise is part of these new pages for me to explore. The only thing to do is accept these sorts of opportunities.""</p> <p>1982 - ARRIVES IN NEW YORK</p> <p>1992 - STARTS HIS PERFUMERY CAREER AT HAARMANN & REIMER</p> <p>2001 - CREATES THE FIRST MARC JACOBS PERFUME</p> <p>2002 - JOINS IFF IN NY</p> <p>2012 - ARRIVES IN PARIS AT IFF</p> <p>2023 - JOINS THE SYMRISE CREATIVE TEAM IN NY AND PARIS</p>"|Meisterparfümeur|Maestro Perfumista|Maître Parfumeur|Mistr parfumér|Maestro Profumiere|Мастер-парфюмер|Mistrz Perfumiarz|Mestre Perfumista|Κορυφαίος Αρωματοποιός|大师级调香师|マスター調香師|Meesterparfumeur|Majstor parfimer|Parfumier Master|صانع عطور خبير|Майстер-парфумер|Мастер сүрчиг зохиогч|마스터 조향사|Usta Parfümör|Mästarparfymör|בשמן אמן|Mesterparfümőr|Лок Донг|Лок Донг|ロック・ドン|洛克·东|록 동|لوك دونغ|לוק דונג|Λοκ Ντονγκ|Лок Донг
